,record_id,verified,rule_results,rule_assignment
22,record_118,true,"{""rule_1"":[""c""],""rule_2"":[""b"",""c"",""d""]}","{""rule_1"":""c"",""rule_2"":""b""}"
23,record_119,true,"{""rule_1"":[""d"",""g""],""rule_2"":[""c"",""g""]}","{""rule_1"":""d"",""rule_2"":""c""}"
24,record_12,true,"{""rule_1"":[""c""],""rule_2"":[""b"",""c"",""d""]}","{""rule_1"":""c"",""rule_2"":""b""}"
25,record_120,true,"{""rule_1"":[""a""],""rule_2"":[""b"",""c"",""d""]}","{""rule_1"":""a"",""rule_2"":""b""}"
26,record_121,false,"{""rule_1"":[],""rule_2"":[""g""]}",{}
27,record_122,true,"{""rule_1"":[""c""],""rule_2"":[""b"",""g""]}","{""rule_1"":""c"",""rule_2"":""b""}"
28,record_123,false,"{""rule_1"":[""c""],""rule_2"":[]}",{}
29,record_124,true,"{""rule_1"":[""b""],""rule_2"":[""c""]}","{""rule_1"":""b"",""rule_2"":""c""}"
30,record_125,true,"{""rule_1"":[""a""],""rule_2"":[""d""]}","{""rule_1"":""a"",""rule_2"":""d""}"
31,record_126,false,"{""rule_1"":[""a""],""rule_2"":[]}",{}
32,record_127,true,"{""rule_1"":[""d""],""rule_2"":[""b""]}","{""rule_1"":""d"",""rule_2"":""b""}"
33,record_128,false,"{""rule_1"":[],""rule_2"":[]}",{}
34,record_129,false,"{""rule_1"":[""c"",""d""],""rule_2"":[]}",{}
35,record_13,false,"{""rule_1"":[],""rule_2"":[""b""]}",{}
36,record_130,false,"{""rule_1"":[],""rule_2"":[]}",{}
37,record_131,true,"{""rule_1"":[""c""],""rule_2"":[""c"",""d"",""g""]}","{""rule_1"":""c"",""rule_2"":""d""}"
38,record_132,true,"{""rule_1"":[""c"",""d""],""rule_2"":[""b"",""c""]}","{""rule_1"":""c"",""rule_2"":""b""}"
39,record_133,true,"{""rule_1"":[""a""],""rule_2"":[""c"",""d""]}","{""rule_1"":""a"",""rule_2"":""c""}"
40,record_134,false,"{""rule_1"":[],""rule_2"":[]}",{}
41,record_135,false,"{""rule_1"":[],""rule_2"":[""f"",""g""]}",{}
42,record_136,true,"{""rule_1"":[""d""],""rule_2"":[""b"",""d""]}","{""rule_1"":""d"",""rule_2"":""b""}"
43,record_137,false,"{""rule_1"":[],""rule_2"":[""b""]}",{}
44,record_138,false,"{""rule_1"":[],""rule_2"":[]}",{}
45,record_139,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""c""]}","{""rule_1"":""a"",""rule_2"":""c""}"
46,record_14,true,"{""rule_1"":[""b"",""c""],""rule_2"":[""c"",""g""]}","{""rule_1"":""b"",""rule_2"":""c""}"
47,record_140,true,"{""rule_1"":[""c""],""rule_2"":[""b"",""c""]}","{""rule_1"":""c"",""rule_2"":""b""}"
48,record_141,false,"{""rule_1"":[],""rule_2"":[]}",{}
49,record_142,true,"{""rule_1"":[""a"",""c"",""d""],""rule_2"":[""c""]}","{""rule_1"":""a"",""rule_2"":""c""}"
50,record_143,false,"{""rule_1"":[""a"",""d""],""rule_2"":[]}",{}
51,record_144,false,"{""rule_1"":[],""rule_2"":[""b"",""c""]}",{}
52,record_145,true,"{""rule_1"":[""b""],""rule_2"":[""b"",""c""]}","{""rule_1"":""b"",""rule_2"":""c""}"
53,record_146,true,"{""rule_1"":[""a""],""rule_2"":[""c"",""d""]}","{""rule_1"":""a"",""rule_2"":""c""}"
54,record_147,false,"{""rule_1"":[""a"",""b"",""c""],""rule_2"":[]}",{}
55,record_148,true,"{""rule_1"":[""a"",""d""],""rule_2"":[""b"",""d""]}","{""rule_1"":""a"",""rule_2"":""b""}"
56,record_149,false,"{""rule_1"":[],""rule_2"":[]}",{}
57,record_15,true,"{""rule_1"":[""b"",""e""],""rule_2"":[""c"",""e""]}","{""rule_1"":""b"",""rule_2"":""c""}"
58,record_150,false,"{""rule_1"":[],""rule_2"":[]}",{}
59,record_151,false,"{""rule_1"":[],""rule_2"":[""c""]}",{}
60,record_152,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""b""]}","{""rule_1"":""a"",""rule_2"":""b""}"
61,record_153,false,"{""rule_1"":[],""rule_2"":[""c"",""d"",""f""]}",{}
62,record_154,true,"{""rule_1"":[""e""],""rule_2"":[""c""]}","{""rule_1"":""e"",""rule_2"":""c""}"
63,record_155,true,"{""rule_1"":[""b""],""rule_2"":[""f""]}","{""rule_1"":""b"",""rule_2"":""f""}"
64,record_156,true,"{""rule_1"":[""c"",""d""],""rule_2"":[""a"",""c""]}","{""rule_1"":""c"",""rule_2"":""a""}"
65,record_157,false,"{""rule_1"":[],""rule_2"":[]}",{}
66,record_158,true,"{""rule_1"":[""d""],""rule_2"":[""b"",""e""]}","{""rule_1"":""d"",""rule_2"":""b""}"
67,record_159,false,"{""rule_1"":[""c"",""d""],""rule_2"":[]}",{}
68,record_16,false,"{""rule_1"":[""a"",""c""],""rule_2"":[]}",{}
69,record_160,false,"{""rule_1"":[],""rule_2"":[""b""]}",{}
70,record_161,true,"{""rule_1"":[""b"",""c"",""d""],""rule_2"":[""d""]}","{""rule_1"":""b"",""rule_2"":""d""}"
71,record_162,true,"{""rule_1"":[""a""],""rule_2"":[""b"",""c""]}","{""rule_1"":""a"",""rule_2"":""b""}"
72,record_163,true,"{""rule_1"":[""c"",""d""],""rule_2"":[""b"",""d"",""g""]}","{""rule_1"":""c"",""rule_2"":""b""}"
73,record_164,false,"{""rule_1"":[""c"",""d""],""rule_2"":[]}",{}
74,record_165,false,"{""rule_1"":[""c""],""rule_2"":[]}",{}
75,record_166,false,"{""rule_1"":[],""rule_2"":[]}",{}
76,record_167,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""b"",""c"",""d""]}","{""rule_1"":""a"",""rule_2"":""b""}"
77,record_168,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""c""]}","{""rule_1"":""a"",""rule_2"":""c""}"
78,record_169,false,"{""rule_1"":[""a"",""c""],""rule_2"":[]}",{}
79,record_17,true,"{""rule_1"":[""c"",""d""],""rule_2"":[""c""]}","{""rule_1"":""d"",""rule_2"":""c""}"
80,record_170,false,"{""rule_1"":[],""rule_2"":[""b"",""c"",""d"",""g""]}",{}
81,record_171,true,"{""rule_1"":[""c"",""e""],""rule_2"":[""d""]}","{""rule_1"":""c"",""rule_2"":""d""}"
82,record_172,false,"{""rule_1"":[""d""],""rule_2"":[""d""]}",{}
83,record_173,true,"{""rule_1"":[""a"",""d""],""rule_2"":[""a""]}","{""rule_1"":""d"",""rule_2"":""a""}"
84,record_174,false,"{""rule_1"":[],""rule_2"":[""b"",""d""]}",{}
85,record_175,true,"{""rule_1"":[""b"",""c"",""f""],""rule_2"":[""c""]}","{""rule_1"":""b"",""rule_2"":""c""}"
86,record_176,true,"{""rule_1"":[""a"",""b"",""c"",""e""],""rule_2"":[""c"",""d""]}","{""rule_1"":""a"",""rule_2"":""c""}"
87,record_177,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""b"",""c""]}","{""rule_1"":""a"",""rule_2"":""b""}"
88,record_178,true,"{""rule_1"":[""c""],""rule_2"":[""d""]}","{""rule_1"":""c"",""rule_2"":""d""}"
89,record_179,false,"{""rule_1"":[],""rule_2"":[]}",{}
90,record_18,true,"{""rule_1"":[""b""],""rule_2"":[""e""]}","{""rule_1"":""b"",""rule_2"":""e""}"
91,record_180,true,"{""rule_1"":[""a"",""c"",""d""],""rule_2"":[""f""]}","{""rule_1"":""a"",""rule_2"":""f""}"
92,record_181,true,"{""rule_1"":[""c""],""rule_2"":[""b""]}","{""rule_1"":""c"",""rule_2"":""b""}"
93,record_182,false,"{""rule_1"":[],""rule_2"":[""b"",""c""]}",{}
94,record_183,true,"{""rule_1"":[""c""],""rule_2"":[""b"",""c""]}","{""rule_1"":""c"",""rule_2"":""b""}"
95,record_184,false,"{""rule_1"":[""a"",""c""],""rule_2"":[]}",{}
96,record_185,false,"{""rule_1"":[],""rule_2"":[]}",{}
97,record_186,false,"{""rule_1"":[""d""],""rule_2"":[]}",{}
98,record_187,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""b"",""c""]}","{""rule_1"":""a"",""rule_2"":""b""}"
99,record_188,false,"{""rule_1"":[],""rule_2"":[]}",{}
100,record_189,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""c""]}","{""rule_1"":""a"",""rule_2"":""c""}"
101,record_19,false,"{""rule_1"":[],""rule_2"":[""c"",""g""]}",{}
102,record_190,true,"{""rule_1"":[""c""],""rule_2"":[""c"",""f""]}","{""rule_1"":""c"",""rule_2"":""f""}"
103,record_191,true,"{""rule_1"":[""c""],""rule_2"":[""b"",""c""]}","{""rule_1"":""c"",""rule_2"":""b""}"
104,record_192,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""c""]}","{""rule_1"":""a"",""rule_2"":""c""}"
105,record_193,false,"{""rule_1"":[],""rule_2"":[""f""]}",{}
106,record_194,false,"{""rule_1"":[],""rule_2"":[]}",{}
107,record_195,true,"{""rule_1"":[""d""],""rule_2"":[""b"",""d""]}","{""rule_1"":""d"",""rule_2"":""b""}"
108,record_196,false,"{""rule_1"":[""a""],""rule_2"":[]}",{}
109,record_197,false,"{""rule_1"":[""d""],""rule_2"":[]}",{}
110,record_198,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""c"",""e"",""f""]}","{""rule_1"":""a"",""rule_2"":""c""}"
111,record_199,false,"{""rule_1"":[""a""],""rule_2"":[]}",{}
112,record_2,false,"{""rule_1"":[""a""],""rule_2"":[]}",{}
113,record_20,true,"{""rule_1"":[""a""],""rule_2"":[""b"",""g""]}","{""rule_1"":""a"",""rule_2"":""b""}"
114,record_200,false,"{""rule_1"":[""a"",""b""],""rule_2"":[]}",{}
115,record_201,false,"{""rule_1"":[],""rule_2"":[""b"",""d"",""h""]}",{}
116,record_202,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""b"",""c"",""g""]}","{""rule_1"":""a"",""rule_2"":""b""}"
117,record_203,false,"{""rule_1"":[],""rule_2"":[""b"",""e""]}",{}
118,record_204,false,"{""rule_1"":[""a""],""rule_2"":[]}",{}
119,record_205,false,"{""rule_1"":[""a"",""c""],""rule_2"":[]}",{}
120,record_206,false,"{""rule_1"":[],""rule_2"":[""c"",""f""]}",{}
121,record_207,false,"{""rule_1"":[],""rule_2"":[""b""]}",{}
122,record_208,false,"{""rule_1"":[""a"",""c""],""rule_2"":[]}",{}
123,record_209,true,"{""rule_1"":[""a"",""b""],""rule_2"":[""d""]}","{""rule_1"":""a"",""rule_2"":""d""}"
124,record_21,true,"{""rule_1"":[""b""],""rule_2"":[""a""]}","{""rule_1"":""b"",""rule_2"":""a""}"
125,record_210,false,"{""rule_1"":[],""rule_2"":[""b"",""c""]}",{}
126,record_211,false,"{""rule_1"":[],""rule_2"":[]}",{}
127,record_212,true,"{""rule_1"":[""c"",""d""],""rule_2"":[""c"",""f""]}","{""rule_1"":""c"",""rule_2"":""f""}"
128,record_213,true,"{""rule_1"":[""a"",""b"",""f""],""rule_2"":[""f""]}","{""rule_1"":""a"",""rule_2"":""f""}"
129,record_214,true,"{""rule_1"":[""a""],""rule_2"":[""b"",""c"",""d"",""f""]}","{""rule_1"":""a"",""rule_2"":""b""}"
130,record_215,true,"{""rule_1"":[""c""],""rule_2"":[""b""]}","{""rule_1"":""c"",""rule_2"":""b""}"
131,record_216,true,"{""rule_1"":[""b"",""c"",""d""],""rule_2"":[""b"",""c""]}","{""rule_1"":""b"",""rule_2"":""c""}"
132,record_217,false,"{""rule_1"":[],""rule_2"":[]}",{}
133,record_218,true,"{""rule_1"":[""d""],""rule_2"":[""c""]}","{""rule_1"":""d"",""rule_2"":""c""}"
134,record_219,false,"{""rule_1"":[""c""],""rule_2"":[""c""]}",{}
135,record_22,false,"{""rule_1"":[],""rule_2"":[""c"",""d""]}",{}
136,record_220,false,"{""rule_1"":[],""rule_2"":[""c""]}",{}
137,record_221,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""c""]}","{""rule_1"":""a"",""rule_2"":""c""}"
138,record_222,true,"{""rule_1"":[""a""],""rule_2"":[""c""]}","{""rule_1"":""a"",""rule_2"":""c""}"
139,record_223,true,"{""rule_1"":[""c""],""rule_2"":[""b"",""c"",""e""]}","{""rule_1"":""c"",""rule_2"":""b""}"
140,record_224,true,"{""rule_1"":[""c""],""rule_2"":[""b""]}","{""rule_1"":""c"",""rule_2"":""b""}"
141,record_225,false,"{""rule_1"":[""b"",""c""],""rule_2"":[]}",{}
142,record_226,false,"{""rule_1"":[""c""],""rule_2"":[""c""]}",{}
143,record_227,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""b"",""c""]}","{""rule_1"":""a"",""rule_2"":""b""}"
144,record_228,false,"{""rule_1"":[""a""],""rule_2"":[]}",{}
145,record_229,true,"{""rule_1"":[""d""],""rule_2"":[""b"",""d"",""f""]}","{""rule_1"":""d"",""rule_2"":""b""}"
146,record_23,false,"{""rule_1"":[],""rule_2"":[""d""]}",{}
147,record_230,true,"{""rule_1"":[""a""],""rule_2"":[""d""]}","{""rule_1"":""a"",""rule_2"":""d""}"
148,record_231,false,"{""rule_1"":[],""rule_2"":[""b""]}",{}
149,record_232,false,"{""rule_1"":[""c""],""rule_2"":[]}",{}
150,record_233,true,"{""rule_1"":[""b""],""rule_2"":[""c"",""e""]}","{""rule_1"":""b"",""rule_2"":""c""}"
151,record_234,false,"{""rule_1"":[],""rule_2"":[""a""]}",{}
152,record_235,true,"{""rule_1"":[""a"",""d""],""rule_2"":[""a"",""f""]}","{""rule_1"":""a"",""rule_2"":""f""}"
153,record_236,true,"{""rule_1"":[""c"",""d""],""rule_2"":[""c"",""d""]}","{""rule_1"":""c"",""rule_2"":""d""}"
154,record_237,true,"{""rule_1"":[""b"",""c""],""rule_2"":[""c"",""d""]}","{""rule_1"":""b"",""rule_2"":""c""}"
155,record_238,true,"{""rule_1"":[""c""],""rule_2"":[""b"",""c""]}","{""rule_1"":""c"",""rule_2"":""b""}"
156,record_239,false,"{""rule_1"":[],""rule_2"":[""c"",""d""]}",{}
157,record_24,true,"{""rule_1"":[""a"",""d""],""rule_2"":[""g""]}","{""rule_1"":""a"",""rule_2"":""g""}"
158,record_240,false,"{""rule_1"":[],""rule_2"":[""b"",""c""]}",{}
159,record_241,true,"{""rule_1"":[""c"",""d""],""rule_2"":[""b"",""c"",""f""]}","{""rule_1"":""c"",""rule_2"":""b""}"
160,record_242,true,"{""rule_1"":[""a""],""rule_2"":[""c""]}","{""rule_1"":""a"",""rule_2"":""c""}"
161,record_243,true,"{""rule_1"":[""a"",""e""],""rule_2"":[""c""]}","{""rule_1"":""a"",""rule_2"":""c""}"
162,record_244,false,"{""rule_1"":[],""rule_2"":[]}",{}
163,record_245,false,"{""rule_1"":[""a""],""rule_2"":[]}",{}
164,record_246,false,"{""rule_1"":[""c""],""rule_2"":[""c""]}",{}
165,record_247,false,"{""rule_1"":[""a"",""d""],""rule_2"":[]}",{}
166,record_248,false,"{""rule_1"":[],""rule_2"":[""d""]}",{}
167,record_249,true,"{""rule_1"":[""a"",""b""],""rule_2"":[""d""]}","{""rule_1"":""a"",""rule_2"":""d""}"
168,record_25,true,"{""rule_1"":[""a""],""rule_2"":[""b"",""c"",""g""]}","{""rule_1"":""a"",""rule_2"":""b""}"
169,record_250,false,"{""rule_1"":[""a""],""rule_2"":[""a""]}",{}
170,record_251,true,"{""rule_1"":[""c""],""rule_2"":[""g""]}","{""rule_1"":""c"",""rule_2"":""g""}"
171,record_252,false,"{""rule_1"":[""c""],""rule_2"":[""c""]}",{}
172,record_253,false,"{""rule_1"":[],""rule_2"":[""d""]}",{}
173,record_254,true,"{""rule_1"":[""a""],""rule_2"":[""b""]}","{""rule_1"":""a"",""rule_2"":""b""}"
174,record_255,true,"{""rule_1"":[""a""],""rule_2"":[""e""]}","{""rule_1"":""a"",""rule_2"":""e""}"
175,record_256,true,"{""rule_1"":[""a""],""rule_2"":[""b""]}","{""rule_1"":""a"",""rule_2"":""b""}"
176,record_257,true,"{""rule_1"":[""a"",""d""],""rule_2"":[""b""]}","{""rule_1"":""a"",""rule_2"":""b""}"
177,record_258,false,"{""rule_1"":[""a""],""rule_2"":[]}",{}
178,record_259,true,"{""rule_1"":[""c""],""rule_2"":[""c"",""d"",""e""]}","{""rule_1"":""c"",""rule_2"":""d""}"
179,record_26,false,"{""rule_1"":[""e""],""rule_2"":[]}",{}
180,record_260,false,"{""rule_1"":[],""rule_2"":[]}",{}
181,record_261,false,"{""rule_1"":[],""rule_2"":[""c""]}",{}
182,record_262,true,"{""rule_1"":[""c"",""d""],""rule_2"":[""b""]}","{""rule_1"":""c"",""rule_2"":""b""}"
183,record_263,false,"{""rule_1"":[""a"",""b""],""rule_2"":[]}",{}
184,record_264,false,"{""rule_1"":[""c""],""rule_2"":[]}",{}
185,record_265,true,"{""rule_1"":[""c""],""rule_2"":[""c"",""d""]}","{""rule_1"":""c"",""rule_2"":""d""}"
186,record_266,true,"{""rule_1"":[""a"",""f""],""rule_2"":[""b"",""g""]}","{""rule_1"":""a"",""rule_2"":""b""}"
187,record_267,false,"{""rule_1"":[""b""],""rule_2"":[""b""]}",{}
188,record_268,false,"{""rule_1"":[],""rule_2"":[""g""]}",{}
189,record_269,true,"{""rule_1"":[""a"",""b""],""rule_2"":[""d""]}","{""rule_1"":""a"",""rule_2"":""d""}"
190,record_27,false,"{""rule_1"":[],""rule_2"":[""b"",""d""]}",{}
191,record_270,false,"{""rule_1"":[],""rule_2"":[""a"",""c""]}",{}
192,record_271,false,"{""rule_1"":[],""rule_2"":[""b""]}",{}
193,record_272,true,"{""rule_1"":[""a""],""rule_2"":[""b""]}","{""rule_1"":""a"",""rule_2"":""b""}"
194,record_273,false,"{""rule_1"":[""a"",""b""],""rule_2"":[]}",{}
195,record_274,true,"{""rule_1"":[""a"",""b""],""rule_2"":[""c""]}","{""rule_1"":""a"",""rule_2"":""c""}"
196,record_275,true,"{""rule_1"":[""d""],""rule_2"":[""b"",""g""]}","{""rule_1"":""d"",""rule_2"":""b""}"
197,record_276,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""b""]}","{""rule_1"":""a"",""rule_2"":""b""}"
198,record_277,true,"{""rule_1"":[""c""],""rule_2"":[""c"",""d""]}","{""rule_1"":""c"",""rule_2"":""d""}"
199,record_278,true,"{""rule_1"":[""c""],""rule_2"":[""c"",""g""]}","{""rule_1"":""c"",""rule_2"":""g""}"
200,record_279,false,"{""rule_1"":[],""rule_2"":[""c"",""f""]}",{}
201,record_28,true,"{""rule_1"":[""a""],""rule_2"":[""b""]}","{""rule_1"":""a"",""rule_2"":""b""}"
202,record_280,false,"{""rule_1"":[],""rule_2"":[""c""]}",{}
203,record_281,false,"{""rule_1"":[],""rule_2"":[""b"",""c""]}",{}
204,record_282,false,"{""rule_1"":[""d"",""e""],""rule_2"":[]}",{}
205,record_283,false,"{""rule_1"":[],""rule_2"":[""b""]}",{}
206,record_284,true,"{""rule_1"":[""c""],""rule_2"":[""b""]}","{""rule_1"":""c"",""rule_2"":""b""}"
207,record_285,true,"{""rule_1"":[""a""],""rule_2"":[""c""]}","{""rule_1"":""a"",""rule_2"":""c""}"
208,record_286,false,"{""rule_1"":[],""rule_2"":[""b"",""g""]}",{}
209,record_287,false,"{""rule_1"":[],""rule_2"":[""b"",""e""]}",{}
210,record_288,true,"{""rule_1"":[""c""],""rule_2"":[""b"",""d""]}","{""rule_1"":""c"",""rule_2"":""b""}"
211,record_289,false,"{""rule_1"":[],""rule_2"":[""b"",""c""]}",{}
212,record_29,false,"{""rule_1"":[],""rule_2"":[""d""]}",{}
213,record_290,false,"{""rule_1"":[""c""],""rule_2"":[""c""]}",{}
214,record_291,false,"{""rule_1"":[""a"",""b""],""rule_2"":[]}",{}
215,record_292,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""c""]}","{""rule_1"":""a"",""rule_2"":""c""}"
216,record_293,true,"{""rule_1"":[""a"",""c"",""e""],""rule_2"":[""e""]}","{""rule_1"":""a"",""rule_2"":""e""}"
217,record_294,true,"{""rule_1"":[""b"",""c""],""rule_2"":[""b""]}","{""rule_1"":""c"",""rule_2"":""b""}"
218,record_295,true,"{""rule_1"":[""b"",""c""],""rule_2"":[""f"",""h""]}","{""rule_1"":""b"",""rule_2"":""f""}"
219,record_296,true,"{""rule_1"":[""d""],""rule_2"":[""b"",""c"",""d""]}","{""rule_1"":""d"",""rule_2"":""b""}"
220,record_297,false,"{""rule_1"":[""a""],""rule_2"":[]}",{}
221,record_298,false,"{""rule_1"":[""b"",""c"",""g""],""rule_2"":[]}",{}
222,record_299,true,"{""rule_1"":[""b""],""rule_2"":[""a"",""b""]}","{""rule_1"":""b"",""rule_2"":""a""}"
223,record_3,false,"{""rule_1"":[],""rule_2"":[]}",{}
224,record_30,true,"{""rule_1"":[""d""],""rule_2"":[""b"",""c""]}","{""rule_1"":""d"",""rule_2"":""b""}"
225,record_300,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""a"",""b"",""d""]}","{""rule_1"":""a"",""rule_2"":""b""}"
226,record_301,true,"{""rule_1"":[""c"",""f""],""rule_2"":[""c"",""f""]}","{""rule_1"":""c"",""rule_2"":""f""}"
227,record_302,true,"{""rule_1"":[""a""],""rule_2"":[""e""]}","{""rule_1"":""a"",""rule_2"":""e""}"
228,record_303,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""d""]}","{""rule_1"":""a"",""rule_2"":""d""}"
229,record_304,true,"{""rule_1"":[""c""],""rule_2"":[""b"",""e""]}","{""rule_1"":""c"",""rule_2"":""b""}"
230,record_305,true,"{""rule_1"":[""a""],""rule_2"":[""h""]}","{""rule_1"":""a"",""rule_2"":""h""}"
231,record_306,true,"{""rule_1"":[""a"",""b""],""rule_2"":[""e""]}","{""rule_1"":""a"",""rule_2"":""e""}"
232,record_307,true,"{""rule_1"":[""a"",""c"",""d""],""rule_2"":[""b"",""c""]}","{""rule_1"":""a"",""rule_2"":""b""}"
233,record_308,false,"{""rule_1"":[],""rule_2"":[""c""]}",{}
234,record_309,true,"{""rule_1"":[""c""],""rule_2"":[""b""]}","{""rule_1"":""c"",""rule_2"":""b""}"
235,record_31,true,"{""rule_1"":[""a"",""d""],""rule_2"":[""b""]}","{""rule_1"":""a"",""rule_2"":""b""}"
236,record_310,false,"{""rule_1"":[""a""],""rule_2"":[]}",{}
237,record_311,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""c""]}","{""rule_1"":""a"",""rule_2"":""c""}"
238,record_312,true,"{""rule_1"":[""a"",""b""],""rule_2"":[""a"",""b""]}","{""rule_1"":""a"",""rule_2"":""b""}"
239,record_313,true,"{""rule_1"":[""a""],""rule_2"":[""c"",""e""]}","{""rule_1"":""a"",""rule_2"":""c""}"
240,record_314,false,"{""rule_1"":[],""rule_2"":[""d"",""g""]}",{}
241,record_315,false,"{""rule_1"":[],""rule_2"":[""b""]}",{}
242,record_316,true,"{""rule_1"":[""c""],""rule_2"":[""b""]}","{""rule_1"":""c"",""rule_2"":""b""}"
243,record_317,false,"{""rule_1"":[""b""],""rule_2"":[]}",{}
244,record_318,true,"{""rule_1"":[""c"",""g""],""rule_2"":[""g""]}","{""rule_1"":""c"",""rule_2"":""g""}"
245,record_319,false,"{""rule_1"":[],""rule_2"":[]}",{}
246,record_32,true,"{""rule_1"":[""c""],""rule_2"":[""c"",""e""]}","{""rule_1"":""c"",""rule_2"":""e""}"
247,record_320,false,"{""rule_1"":[""a""],""rule_2"":[]}",{}
248,record_321,false,"{""rule_1"":[],""rule_2"":[""c""]}",{}
249,record_322,false,"{""rule_1"":[""b""],""rule_2"":[]}",{}
250,record_323,false,"{""rule_1"":[""a"",""f""],""rule_2"":[]}",{}
251,record_324,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""b"",""c""]}","{""rule_1"":""a"",""rule_2"":""b""}"
252,record_325,true,"{""rule_1"":[""a""],""rule_2"":[""b"",""d"",""e"",""g""]}","{""rule_1"":""a"",""rule_2"":""b""}"
253,record_326,true,"{""rule_1"":[""c""],""rule_2"":[""a"",""b"",""c"",""d""]}","{""rule_1"":""c"",""rule_2"":""a""}"
254,record_327,false,"{""rule_1"":[""c""],""rule_2"":[]}",{}
255,record_328,false,"{""rule_1"":[],""rule_2"":[""f""]}",{}
256,record_329,true,"{""rule_1"":[""a""],""rule_2"":[""d""]}","{""rule_1"":""a"",""rule_2"":""d""}"
257,record_33,false,"{""rule_1"":[],""rule_2"":[]}",{}
258,record_330,true,"{""rule_1"":[""a""],""rule_2"":[""f""]}","{""rule_1"":""a"",""rule_2"":""f""}"
259,record_331,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""a"",""c""]}","{""rule_1"":""a"",""rule_2"":""c""}"
260,record_332,true,"{""rule_1"":[""a""],""rule_2"":[""b""]}","{""rule_1"":""a"",""rule_2"":""b""}"
261,record_333,true,"{""rule_1"":[""a"",""d""],""rule_2"":[""c""]}","{""rule_1"":""a"",""rule_2"":""c""}"
262,record_334,true,"{""rule_1"":[""d""],""rule_2"":[""c"",""d""]}","{""rule_1"":""d"",""rule_2"":""c""}"
263,record_335,false,"{""rule_1"":[],""rule_2"":[]}",{}
264,record_336,false,"{""rule_1"":[],""rule_2"":[""c""]}",{}
265,record_337,true,"{""rule_1"":[""b""],""rule_2"":[""b"",""e""]}","{""rule_1"":""b"",""rule_2"":""e""}"
266,record_338,true,"{""rule_1"":[""a"",""e""],""rule_2"":[""c""]}","{""rule_1"":""a"",""rule_2"":""c""}"
