recordid,datasource,firstinitial,firstname,middlename,lastname,dayofbirth,monthofbirth,yearofbirth,streetname,streetnumber,streettype,city,region,postalcode,unitnumber,address1,taxid,socialinsurancenumber,voterid,gender,trumatch_confidence
record_11,f,missing,nomatch,match,nomatch,nomatch,match,missing,nomatch,missing,match,match,match,nomatch,missing,nomatch,match,,match,nomatch,0.4726266800451415
record_11,g,matcha,matcha,nomatch,matcha,matcha,match,nomatch,matcha,nomatch,,matcha,match,nomatch,,matcha,matcha,match,match,,0.5357366838989891
record_11,h,nomatch,match,match,missing,missing,match,missing,nomatch,nomatch,nomatch,nomatch,nomatch,nomatch,missing,missing,missing,missing,match,nomatch,0.584374731932122
record_110,a,match,match,match,match,match,match,match,match,match,match,match,match,missing,match,,missing,missing,,match,0.7011898356123328
record_110,b,match,missing,match,missing,match,match,match,match,nomatch,match,match,match,nomatch,match,nomatch,match,match,match,missing,0.6277787224358062
record_110,c,nomatch,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,,match,match,0.5408969632852987
record_110,d,missing,match,match,match,nomatch,nomatch,missing,nomatch,nomatch,match,match,match,missing,nomatch,nomatch,nomatch,match,match,nomatch,0.3430862357796966
record_110,e,match,nomatch,match,nomatch,nomatch,nomatch,nomatch,nomatch,match,match,nomatch,nomatch,nomatch,match,match,nomatch,match,match,match,0.4648235349213268
record_110,f,match,match,match,nomatch,match,match,nomatch,match,nomatch,nomatch,match,match,nomatch,match,match,match,missing,match,match,0.8197041785130752
record_110,g,,nomatch,matcha,,nomatch,,,matcha,matcha,nomatch,,,nomatch,,matcha,match,nomatch,match,,0.5201500497913008
record_110,h,missing,missing,missing,missing,missing,match,nomatch,missing,nomatch,match,missing,nomatch,nomatch,nomatch,match,missing,nomatch,match,nomatch,0.27174648423213904
record_111,a,match,match,match,nomatch,match,,match,match,match,match,match,match,match,match,match,nomatch,missing,nomatch,match,0.6884616258010078
record_111,b,match,match,match,match,match,match,,match,missing,match,,missing,match,match,match,match,match,match,match,0.48797236063445265
record_111,c,nomatch,nomatch,match,match,,match,match,match,missing,match,match,match,match,match,missing,match,match,match,match,0.5660276313977087
record_111,d,match,nomatch,match,match,match,match,nomatch,match,match,match,match,match,nomatch,match,nomatch,nomatch,match,match,match,0.5188505453844332
record_111,e,nomatch,nomatch,match,nomatch,match,nomatch,match,nomatch,missing,match,match,nomatch,match,nomatch,match,nomatch,match,match,nomatch,0.5574444784382697
record_111,f,nomatch,nomatch,nomatch,match,missing,match,match,nomatch,missing,match,nomatch,nomatch,nomatch,match,missing,match,nomatch,nomatch,match,0.5437559709941933
record_111,g,,,matcha,matcha,,match,nomatch,matcha,matcha,nomatch,,,nomatch,,nomatch,match,nomatch,match,,0.695252150571
record_111,h,nomatch,nomatch,match,nomatch,missing,match,nomatch,missing,match,missing,missing,match,missing,nomatch,nomatch,missing,missing,missing,nomatch,0.6623312304684255
record_112,a,match,nomatch,match,match,nomatch,match,nomatch,missing,match,match,nomatch,match,match,match,missing,missing,nomatch,nomatch,nomatch,0.6020601520166172
record_112,b,match,missing,match,match,match,match,missing,match,nomatch,match,match,match,missing,match,match,match,match,match,match,0.6286877425240347
record_112,c,match,nomatch,match,match,match,match,match,match,match,match,match,missing,match,nomatch,missing,match,match,missing,match,0.487952067560378
record_112,d,nomatch,match,nomatch,match,nomatch,match,nomatch,match,match,match,match,match,match,match,match,missing,match,match,match,0.8130897775027974
record_112,e,nomatch,match,match,match,nomatch,nomatch,match,nomatch,match,nomatch,nomatch,missing,match,match,missing,nomatch,match,missing,nomatch,0.738995448041882
record_112,f,nomatch,match,nomatch,match,nomatch,nomatch,match,nomatch,nomatch,match,nomatch,missing,nomatch,nomatch,missing,nomatch,nomatch,missing,match,0.5258079496330239
record_112,g,nomatch,matcha,,,nomatch,nomatch,match,nomatch,,,nomatch,,,nomatch,match,nomatch,matcha,match,nomatch,0.6402327379763976
record_112,h,match,match,missing,match,missing,match,match,missing,nomatch,nomatch,match,nomatch,missing,nomatch,missing,nomatch,match,match,match,0.6846763385277417
record_113,a,match,match,match,match,match,match,match,match,match,match,match,match,,match,nomatch,nomatch,nomatch,nomatch,match,0.6525529833696101
record_113,b,match,match,missing,match,match,match,match,match,nomatch,match,match,missing,match,match,match,missing,match,match,match,0.6719403145261704
record_113,c,match,match,match,nomatch,match,match,match,match,match,nomatch,match,match,nomatch,missing,match,,match,match,match,0.6007365670247518
record_113,d,match,match,nomatch,match,match,nomatch,match,match,match,match,match,nomatch,match,nomatch,nomatch,match,match,match,match,0.6405789626623224
record_113,e,nomatch,match,match,nomatch,nomatch,nomatch,match,nomatch,match,nomatch,nomatch,match,nomatch,missing,match,,nomatch,nomatch,match,0.5974464533019284
record_113,f,match,match,match,match,nomatch,nomatch,match,match,nomatch,match,nomatch,match,nomatch,missing,match,missing,match,match,nomatch,0.565585078987014
record_113,g,nomatch,,nomatch,,nomatch,,,,,,,,match,matcha,match,nomatch,matcha,nomatch,,0.45154698783131697
record_113,h,nomatch,nomatch,match,missing,nomatch,nomatch,missing,missing,nomatch,match,nomatch,missing,,missing,match,match,missing,nomatch,nomatch,0.5438045751290825
record_114,a,match,match,nomatch,,match,nomatch,match,match,match,nomatch,,match,match,match,nomatch,nomatch,missing,nomatch,match,0.6186737425725832
record_114,b,match,missing,match,match,match,match,match,match,nomatch,match,match,match,match,match,match,match,missing,match,match,0.6690447413990009
record_114,c,match,nomatch,nomatch,match,missing,match,match,nomatch,match,match,match,match,match,nomatch,match,,match,match,match,0.45699825398437005
record_114,d,match,nomatch,match,match,match,nomatch,nomatch,match,match,nomatch,match,match,match,match,match,match,match,match,nomatch,0.6064132227029763
record_114,e,match,match,nomatch,nomatch,match,nomatch,match,nomatch,match,match,nomatch,match,match,match,nomatch,,nomatch,match,nomatch,0.6360716046530406
record_114,f,nomatch,match,match,nomatch,missing,match,match,match,match,match,nomatch,nomatch,match,nomatch,nomatch,missing,nomatch,nomatch,nomatch,0.6916871318188389
record_114,g,nomatch,matcha,match,match,,nomatch,nomatch,,matcha,matcha,match,matcha,,,match,match,match,matcha,nomatch,0.5693418400997706
record_114,h,nomatch,nomatch,missing,,missing,missing,match,match,match,match,missing,nomatch,nomatch,missing,nomatch,match,nomatch,match,missing,0.7095244241004759
record_115,a,missing,match,match,match,nomatch,match,nomatch,match,nomatch,match,match,nomatch,match,nomatch,match,missing,nomatch,,match,0.5622164221214375
record_115,b,match,nomatch,match,match,match,match,nomatch,match,,missing,missing,match,match,match,match,match,missing,match,match,0.7397638952539652
record_115,c,match,match,match,nomatch,match,match,match,match,match,missing,match,match,match,match,match,match,match,match,match,0.5875779300497271
record_115,d,match,nomatch,match,match,match,match,match,nomatch,match,nomatch,match,match,match,match,match,match,match,nomatch,match,0.7911709522189669
record_115,e,match,nomatch,match,nomatch,nomatch,nomatch,match,nomatch,match,missing,nomatch,nomatch,match,match,nomatch,nomatch,match,match,nomatch,0.539042185335011
record_115,f,match,nomatch,nomatch,nomatch,nomatch,match,match,nomatch,nomatch,missing,nomatch,nomatch,match,nomatch,match,match,match,match,match,0.48434780710588643
record_115,g,match,,,nomatch,match,matcha,matcha,nomatch,matcha,,,match,matcha,match,,match,nomatch,match,matcha,0.6410208163600847
record_115,h,nomatch,missing,missing,nomatch,missing,match,nomatch,nomatch,missing,nomatch,nomatch,match,nomatch,missing,nomatch,missing,missing,,match,0.7021964346142988
record_116,a,match,match,match,match,,nomatch,nomatch,missing,match,match,missing,match,,match,nomatch,match,nomatch,nomatch,match,0.7316192993623697
record_116,b,match,match,match,missing,match,match,match,match,missing,match,match,missing,missing,match,missing,match,match,match,match,0.6077327951424285
record_116,c,missing,match,match,match,match,match,match,missing,match,match,missing,nomatch,nomatch,match,match,match,match,match,nomatch,0.6370640862666079
record_116,d,match,match,match,match,match,match,match,nomatch,match,match,match,match,match,match,match,missing,match,match,match,0.614097161550912
record_116,e,match,nomatch,match,match,match,nomatch,match,match,match,match,match,nomatch,match,match,nomatch,match,nomatch,nomatch,nomatch,0.7887429191496118
record_116,f,missing,match,match,nomatch,nomatch,nomatch,nomatch,missing,match,nomatch,missing,nomatch,nomatch,match,nomatch,match,match,nomatch,nomatch,0.6713856217780678
record_116,g,,,nomatch,matcha,matcha,matcha,nomatch,matcha,,nomatch,match,nomatch,matcha,matcha,match,matcha,matcha,matcha,,0.5833693648611423
record_116,h,nomatch,nomatch,missing,match,match,nomatch,nomatch,missing,missing,nomatch,nomatch,nomatch,,match,match,match,missing,match,nomatch,0.6492003013037204
record_117,a,match,match,match,nomatch,match,match,nomatch,match,nomatch,nomatch,match,match,missing,match,,nomatch,nomatch,nomatch,match,0.6699862681216839
record_117,b,missing,match,match,match,match,match,match,missing,nomatch,match,missing,match,match,match,match,match,missing,match,match,0.49883928321793436
record_117,c,match,match,match,match,match,match,match,match,match,nomatch,match,match,nomatch,nomatch,match,match,match,match,nomatch,0.5432738406674588
record_117,d,nomatch,nomatch,match,match,missing,match,match,match,match,missing,match,nomatch,match,match,match,match,match,match,nomatch,0.6346932677796494
record_117,e,match,nomatch,match,nomatch,nomatch,nomatch,nomatch,nomatch,nomatch,nomatch,match,nomatch,match,nomatch,nomatch,match,nomatch,nomatch,match,0.5551863305355526
record_117,f,match,match,match,match,nomatch,match,match,match,match,nomatch,match,match,match,match,match,nomatch,nomatch,nomatch,nomatch,0.49749730720488106
record_117,g,matcha,,nomatch,matcha,matcha,,match,matcha,nomatch,nomatch,,,matcha,,match,nomatch,match,match,matcha,0.5424586880418121
record_117,h,nomatch,nomatch,missing,nomatch,nomatch,nomatch,match,match,missing,nomatch,match,nomatch,missing,nomatch,match,missing,nomatch,missing,match,0.8174795024894373
record_118,a,match,,match,nomatch,match,nomatch,match,match,match,match,match,match,match,missing,match,missing,nomatch,nomatch,match,0.5349482597265158
record_118,b,match,missing,missing,match,match,match,,missing,nomatch,match,missing,match,match,match,,match,missing,match,missing,0.5192557150459373
record_118,c,match,match,match,match,match,match,match,missing,match,match,missing,nomatch,match,match,match,match,match,match,match,0.6104647212772359
record_118,d,match,missing,match,match,match,nomatch,nomatch,nomatch,nomatch,match,nomatch,match,nomatch,match,missing,match,match,match,match,0.5136219222162751
record_118,e,match,match,match,nomatch,nomatch,nomatch,match,missing,match,nomatch,missing,nomatch,match,nomatch,match,match,match,match,nomatch,0.618062343775956
record_118,f,nomatch,match,nomatch,nomatch,nomatch,match,nomatch,missing,match,match,missing,nomatch,match,nomatch,nomatch,match,nomatch,nomatch,nomatch,0.6729264993068448
record_118,g,nomatch,nomatch,nomatch,match,nomatch,match,,nomatch,,matcha,matcha,,nomatch,nomatch,matcha,matcha,matcha,nomatch,,0.5333740854281455
record_118,h,match,match,match,missing,nomatch,match,nomatch,nomatch,match,match,nomatch,match,match,nomatch,match,missing,missing,missing,nomatch,0.5959932230455154
record_119,a,match,match,match,,nomatch,nomatch,match,match,missing,match,match,match,match,match,nomatch,nomatch,nomatch,missing,match,0.5219995711615545
record_119,b,match,match,match,nomatch,missing,match,match,match,,match,match,match,match,match,nomatch,missing,missing,match,match,0.5161474130031557
record_119,c,match,match,match,match,match,nomatch,match,nomatch,match,nomatch,match,match,match,match,nomatch,match,match,match,match,0.6137144944525331
record_119,d,match,nomatch,match,match,match,match,match,match,match,match,match,nomatch,match,nomatch,nomatch,nomatch,match,match,match,0.6652700334398431
record_119,e,nomatch,match,nomatch,match,match,nomatch,nomatch,nomatch,match,match,match,match,match,nomatch,match,nomatch,match,match,match,0.6836252090195735
record_119,f,nomatch,nomatch,nomatch,nomatch,nomatch,match,nomatch,match,match,nomatch,match,match,nomatch,nomatch,nomatch,nomatch,match,nomatch,match,0.6394488101434568
record_119,g,matcha,,,matcha,match,match,matcha,nomatch,match,,matcha,nomatch,nomatch,nomatch,match,match,match,nomatch,,0.5128890688998139
record_119,h,nomatch,nomatch,nomatch,,missing,match,missing,match,missing,nomatch,nomatch,nomatch,nomatch,nomatch,nomatch,nomatch,missing,missing,missing,0.4576221949639945
record_12,a,nomatch,nomatch,match,missing,match,match,match,match,nomatch,match,match,match,match,missing,match,nomatch,nomatch,,match,0.5802553971043183
record_12,b,match,match,match,match,match,missing,match,match,nomatch,missing,match,match,match,missing,match,match,match,match,match,0.6193181097569962
