recordid,datasource,firstinitial,firstname,middlename,lastname,dayofbirth,monthofbirth,yearofbirth,streetname,streetnumber,streettype,city,region,postalcode,unitnumber,address1,taxid,socialinsurancenumber,voterid,gender,trumatch_confidence
record_1000,d,match,nomatch,nomatch,match,match,nomatch,match,match,match,match,match,match,match,match,nomatch,nomatch,nomatch,match,match,0.745596646
record_1000,e,match,nomatch,match,nomatch,match,nomatch,match,match,match,nomatch,nomatch,nomatch,nomatch,match,match,nomatch,nomatch,match,nomatch,0.692753253
record_1000,f,match,match,nomatch,nomatch,missing,match,nomatch,nomatch,nomatch,match,nomatch,match,nomatch,match,nomatch,match,match,missing,nomatch,0.636314019
record_1000,g,nomatch,match,nomatch,,match,nomatch,nomatch,match,,nomatch,nomatch,matcha,,,match,nomatch,match,matcha,,0.788505079
record_1000,h,missing,missing,missing,nomatch,match,missing,missing,match,match,missing,nomatch,nomatch,nomatch,nomatch,missing,match,missing,match,missing,0.682060501
record_101,a,match,nomatch,missing,match,nomatch,match,match,,match,nomatch,match,match,,match,missing,,nomatch,nomatch,nomatch,0.754289028
record_101,b,match,nomatch,missing,match,missing,match,match,match,match,match,match,missing,match,missing,match,match,missing,nomatch,missing,0.555095671
record_101,c,nomatch,match,match,match,match,,match,nomatch,match,match,nomatch,missing,match,missing,match,match,match,nomatch,match,0.5363636
record_101,d,nomatch,match,match,match,match,match,match,match,match,nomatch,match,match,nomatch,match,match,match,match,match,match,0.546899109
record_101,e,nomatch,match,match,match,match,,match,nomatch,match,nomatch,match,missing,match,match,nomatch,nomatch,nomatch,nomatch,match,0.560247428
record_101,f,match,nomatch,nomatch,match,nomatch,missing,match,match,match,nomatch,nomatch,missing,nomatch,missing,nomatch,nomatch,nomatch,nomatch,nomatch,0.559253254
record_101,g,matcha,match,match,matcha,match,nomatch,,match,,match,nomatch,nomatch,nomatch,nomatch,match,match,match,matcha,nomatch,0.516407676
record_101,h,missing,match,nomatch,match,match,missing,missing,match,nomatch,match,nomatch,match,match,missing,missing,match,match,nomatch,missing,0.552010972
record_102,a,match,match,nomatch,nomatch,,match,match,match,match,match,match,match,match,match,nomatch,missing,,nomatch,nomatch,0.588204336
record_102,b,missing,missing,match,match,match,match,match,match,nomatch,match,match,match,missing,match,match,match,match,missing,match,0.58323435
record_102,c,match,nomatch,nomatch,match,match,match,match,nomatch,match,match,match,missing,nomatch,missing,match,match,missing,match,match,0.674666572
record_102,d,match,nomatch,nomatch,match,nomatch,match,match,match,match,match,nomatch,match,match,match,match,nomatch,match,match,nomatch,0.620807524
record_102,e,nomatch,match,match,match,match,nomatch,match,match,nomatch,nomatch,nomatch,match,match,missing,match,match,match,nomatch,match,0.723340148
record_102,f,nomatch,nomatch,nomatch,match,match,match,match,nomatch,match,match,nomatch,missing,match,missing,match,nomatch,missing,nomatch,match,0.727672398
record_102,g,,nomatch,nomatch,nomatch,match,,matcha,matcha,,nomatch,,nomatch,matcha,,match,match,match,matcha,match,0.739069523
record_102,h,missing,match,match,match,missing,match,missing,match,nomatch,nomatch,nomatch,nomatch,missing,missing,match,nomatch,,nomatch,match,0.709815986
record_103,a,match,match,match,match,match,match,match,nomatch,match,match,nomatch,match,match,match,nomatch,nomatch,match,nomatch,match,0.543173077
record_103,b,match,match,match,match,match,match,,match,missing,match,,,match,missing,nomatch,missing,match,match,missing,0.502512667
record_103,c,nomatch,match,match,match,nomatch,match,match,match,missing,match,nomatch,match,nomatch,match,match,match,match,match,match,0.675333413
record_103,d,match,match,match,match,nomatch,match,match,match,match,match,match,match,match,match,nomatch,match,match,match,,0.581320867
record_103,e,nomatch,nomatch,nomatch,match,match,nomatch,match,nomatch,match,match,match,match,nomatch,nomatch,nomatch,match,match,nomatch,nomatch,0.397806917
record_103,f,match,match,nomatch,match,match,match,nomatch,match,missing,match,match,match,nomatch,match,nomatch,nomatch,nomatch,match,match,0.477187746
record_103,g,,matcha,matcha,matcha,nomatch,nomatch,,matcha,nomatch,nomatch,match,,nomatch,,nomatch,nomatch,,matcha,matcha,0.775956543
record_103,h,nomatch,match,nomatch,missing,match,match,missing,missing,missing,nomatch,nomatch,nomatch,nomatch,missing,match,nomatch,match,match,missing,0.500797611
record_104,a,match,match,match,,match,match,missing,match,,match,match,match,nomatch,match,match,missing,nomatch,missing,match,0.526298832
record_104,b,match,match,match,match,match,match,match,match,nomatch,missing,match,missing,missing,missing,match,missing,match,match,match,0.53717019
record_104,c,missing,match,match,match,match,match,match,match,missing,missing,match,nomatch,match,match,match,match,match,match,match,0.562864214
record_104,d,nomatch,match,nomatch,nomatch,nomatch,match,match,match,nomatch,match,match,match,match,nomatch,nomatch,match,match,match,match,0.32599411
record_104,e,missing,nomatch,nomatch,match,match,match,nomatch,nomatch,match,missing,nomatch,nomatch,nomatch,nomatch,nomatch,nomatch,nomatch,match,match,0.619357905
record_104,f,missing,match,match,nomatch,nomatch,nomatch,nomatch,nomatch,missing,missing,match,nomatch,nomatch,nomatch,nomatch,nomatch,nomatch,match,nomatch,0.384121287
record_104,g,,,,matcha,,,match,,match,matcha,matcha,,match,,nomatch,match,match,match,,0.74937722
record_104,h,nomatch,missing,nomatch,match,match,nomatch,missing,match,match,nomatch,missing,match,nomatch,nomatch,match,missing,match,nomatch,missing,0.679256135
record_105,a,match,,match,match,missing,match,match,match,,match,match,match,missing,match,nomatch,nomatch,,nomatch,match,0.365983569
record_105,b,match,match,match,match,match,match,match,missing,nomatch,match,match,match,match,,match,match,match,missing,match,0.639984763
record_105,c,match,match,match,missing,match,match,match,match,missing,missing,match,missing,match,match,match,match,,nomatch,match,0.509487484
record_105,d,missing,match,nomatch,match,nomatch,match,nomatch,nomatch,match,nomatch,match,match,match,match,match,nomatch,match,match,match,0.596180943
record_105,e,match,nomatch,nomatch,match,nomatch,match,nomatch,match,missing,match,match,match,nomatch,nomatch,nomatch,match,,nomatch,match,0.683977462
record_105,f,nomatch,match,match,missing,match,nomatch,nomatch,nomatch,missing,missing,match,missing,match,match,match,match,missing,match,match,0.550868408
record_105,g,nomatch,nomatch,,,match,,,matcha,match,nomatch,,nomatch,matcha,,match,match,matcha,matcha,matcha,0.589008849
record_105,h,missing,match,missing,match,missing,match,nomatch,nomatch,,nomatch,missing,missing,missing,nomatch,nomatch,match,missing,nomatch,match,0.632055806
record_106,a,match,match,match,match,match,match,nomatch,nomatch,match,match,nomatch,match,match,match,nomatch,nomatch,nomatch,nomatch,match,0.687799509
record_106,b,match,missing,match,nomatch,missing,,match,match,nomatch,match,match,match,match,,match,match,,match,missing,0.497563611
record_106,c,match,nomatch,match,nomatch,match,match,match,match,match,match,match,match,match,match,match,match,nomatch,match,match,0.514424103
record_106,d,match,match,nomatch,match,match,match,nomatch,nomatch,,match,nomatch,match,match,match,nomatch,match,match,nomatch,nomatch,0.689112834
record_106,e,nomatch,nomatch,nomatch,match,match,match,match,match,nomatch,nomatch,match,nomatch,nomatch,nomatch,match,nomatch,nomatch,match,match,0.596346795
record_106,f,match,nomatch,nomatch,nomatch,match,match,match,nomatch,match,nomatch,match,match,match,nomatch,match,match,match,nomatch,match,0.585006794
record_106,g,nomatch,,,,,,match,match,,nomatch,match,,,nomatch,matcha,matcha,match,matcha,,0.622451276
record_106,h,nomatch,match,match,nomatch,match,nomatch,missing,match,missing,nomatch,match,nomatch,nomatch,nomatch,match,missing,match,nomatch,nomatch,0.667803728
record_107,a,match,match,nomatch,,match,match,match,match,match,,missing,match,match,match,match,,nomatch,nomatch,match,0.621176383
record_107,b,missing,match,match,match,missing,missing,missing,match,nomatch,match,missing,match,match,match,missing,match,match,match,match,0.571089119
record_107,c,nomatch,match,nomatch,match,match,match,match,match,match,missing,match,nomatch,match,nomatch,nomatch,match,match,match,match,0.595626294
record_107,d,match,match,match,match,match,match,match,match,nomatch,nomatch,nomatch,nomatch,match,match,nomatch,nomatch,match,match,match,0.649757732
record_107,e,nomatch,match,match,match,match,nomatch,match,match,match,missing,nomatch,nomatch,match,match,nomatch,nomatch,match,match,match,0.740412894
record_107,f,nomatch,match,nomatch,match,nomatch,match,match,match,nomatch,missing,nomatch,nomatch,match,nomatch,match,match,nomatch,match,nomatch,0.573047488
record_107,g,matcha,matcha,match,match,,nomatch,,matcha,nomatch,match,nomatch,nomatch,nomatch,matcha,,match,match,match,nomatch,0.522213347
record_107,h,nomatch,nomatch,nomatch,match,nomatch,nomatch,match,nomatch,nomatch,,missing,nomatch,nomatch,missing,missing,match,match,match,missing,0.564586509
record_108,a,match,match,match,match,match,missing,,nomatch,match,match,match,match,match,nomatch,match,nomatch,nomatch,nomatch,match,0.60356283
record_108,b,match,match,,missing,match,match,match,match,nomatch,match,match,match,,match,match,match,missing,match,match,0.671507528
record_108,c,match,match,match,nomatch,match,missing,match,match,match,match,match,match,match,match,match,match,match,match,nomatch,0.589472048
record_108,d,nomatch,match,match,match,nomatch,match,match,match,match,match,nomatch,match,missing,match,match,match,nomatch,match,nomatch,0.514432923
record_108,e,nomatch,nomatch,match,match,match,match,match,nomatch,nomatch,match,nomatch,nomatch,match,nomatch,nomatch,nomatch,match,nomatch,nomatch,0.491328746
record_108,f,nomatch,nomatch,nomatch,match,match,missing,nomatch,nomatch,nomatch,match,nomatch,match,nomatch,match,nomatch,nomatch,match,nomatch,nomatch,0.625715295
record_108,g,,,nomatch,matcha,,match,nomatch,match,,matcha,,,nomatch,nomatch,nomatch,match,match,match,nomatch,0.720043833
record_108,h,nomatch,missing,nomatch,match,match,nomatch,match,nomatch,match,nomatch,nomatch,nomatch,match,match,missing,match,missing,missing,nomatch,0.714996867
record_109,a,match,nomatch,match,nomatch,match,match,match,match,match,match,match,nomatch,match,match,missing,missing,nomatch,nomatch,match,0.642785784
record_109,b,nomatch,match,match,match,match,match,match,match,nomatch,match,match,missing,match,match,,nomatch,match,match,match,0.573270847
record_109,c,match,missing,match,match,,missing,match,nomatch,missing,match,match,match,match,match,match,match,match,match,nomatch,0.65649042
record_109,d,match,match,match,nomatch,nomatch,missing,match,missing,match,match,match,match,nomatch,match,match,nomatch,match,match,nomatch,0.790948767
record_109,e,match,missing,nomatch,match,,missing,match,match,missing,nomatch,nomatch,match,nomatch,nomatch,match,nomatch,nomatch,nomatch,nomatch,0.499081969
record_109,f,nomatch,missing,match,match,missing,missing,nomatch,match,missing,nomatch,nomatch,match,match,nomatch,nomatch,nomatch,nomatch,nomatch,match,0.6155639
record_109,g,,matcha,nomatch,match,,nomatch,matcha,matcha,nomatch,matcha,nomatch,match,nomatch,,match,match,match,nomatch,,0.636212043
record_109,h,missing,missing,nomatch,match,missing,missing,nomatch,missing,nomatch,missing,match,missing,nomatch,nomatch,missing,nomatch,match,nomatch,missing,0.607434518
record_11,a,match,match,match,match,match,nomatch,match,match,match,match,match,missing,match,match,match,nomatch,nomatch,nomatch,match,0.586480791
record_11,b,match,match,missing,missing,match,match,match,missing,missing,match,match,missing,match,match,,missing,match,match,match,0.639268602
record_11,c,missing,nomatch,nomatch,match,match,match,,match,missing,nomatch,nomatch,match,match,missing,nomatch,match,,match,match,0.594627307
record_11,d,match,match,match,missing,nomatch,match,nomatch,match,match,nomatch,,match,match,match,match,match,match,match,match,0.577489985
record_11,e,match,nomatch,nomatch,match,nomatch,match,match,nomatch,missing,match,nomatch,match,nomatch,missing,match,match,match,match,nomatch,0.583082828
record_11,f,missing,nomatch,match,nomatch,nomatch,match,missing,nomatch,missing,match,match,match,nomatch,missing,nomatch,match,,match,nomatch,0.47262668
record_11,g,matcha,matcha,nomatch,matcha,matcha,match,nomatch,matcha,nomatch,,matcha,match,nomatch,,matcha,matcha,match,match,,0.535736684
record_11,h,nomatch,match,match,missing,missing,match,missing,nomatch,nomatch,nomatch,nomatch,nomatch,nomatch,missing,missing,missing,missing,match,nomatch,0.584374732
record_110,a,match,match,match,match,match,match,match,match,match,match,match,match,missing,match,,missing,missing,,match,0.701189836
record_110,b,match,missing,match,missing,match,match,match,match,nomatch,match,match,match,nomatch,match,nomatch,match,match,match,missing,0.627778722
record_110,c,nomatch,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,,match,match,0.540896963
record_110,d,missing,match,match,match,nomatch,nomatch,missing,nomatch,nomatch,match,match,match,missing,nomatch,nomatch,nomatch,match,match,nomatch,0.343086236
record_110,e,match,nomatch,match,nomatch,nomatch,nomatch,nomatch,nomatch,match,match,nomatch,nomatch,nomatch,match,match,nomatch,match,match,match,0.464823535
record_110,f,match,match,match,nomatch,match,match,nomatch,match,nomatch,nomatch,match,match,nomatch,match,match,match,missing,match,match,0.819704179
record_110,g,,nomatch,matcha,,nomatch,,,matcha,matcha,nomatch,,,nomatch,,matcha,match,nomatch,match,,0.52015005
record_110,h,missing,missing,missing,missing,missing,match,nomatch,missing,nomatch,match,missing,nomatch,nomatch,nomatch,match,missing,nomatch,match,nomatch,0.271746484
record_111,a,match,match,match,nomatch,match,,match,match,match,match,match,match,match,match,match,nomatch,missing,nomatch,match,0.688461626
record_111,b,match,match,match,match,match,match,,match,missing,match,,missing,match,match,match,match,match,match,match,0.487972361
record_111,c,nomatch,nomatch,match,match,,match,match,match,missing,match,match,match,match,match,missing,match,match,match,match,0.566027631
record_111,d,match,nomatch,match,match,match,match,nomatch,match,match,match,match,match,nomatch,match,nomatch,nomatch,match,match,match,0.518850545
record_111,e,nomatch,nomatch,match,nomatch,match,nomatch,match,nomatch,missing,match,match,nomatch,match,nomatch,match,nomatch,match,match,nomatch,0.557444478
record_111,f,nomatch,nomatch,nomatch,match,missing,match,match,nomatch,missing,match,nomatch,nomatch,nomatch,match,missing,match,nomatch,nomatch,match,0.543755971
record_111,g,,,matcha,matcha,,match,nomatch,matcha,matcha,nomatch,,,nomatch,,nomatch,match,nomatch,match,,0.695252151
record_111,h,nomatch,nomatch,match,nomatch,missing,match,nomatch,missing,match,missing,missing,match,missing,nomatch,nomatch,missing,missing,missing,nomatch,0.66233123
record_112,a,match,nomatch,match,match,nomatch,match,nomatch,missing,match,match,nomatch,match,match,match,missing,missing,nomatch,nomatch,nomatch,0.602060152
record_112,b,match,missing,match,match,match,match,missing,match,nomatch,match,match,match,missing,match,match,match,match,match,match,0.628687743
record_112,c,match,nomatch,match,match,match,match,match,match,match,match,match,missing,match,nomatch,missing,match,match,missing,match,0.487952068
record_112,d,nomatch,match,nomatch,match,nomatch,match,nomatch,match,match,match,match,match,match,match,match,missing,match,match,match,0.813089778
record_112,e,nomatch,match,match,match,nomatch,nomatch,match,nomatch,match,nomatch,nomatch,missing,match,match,missing,nomatch,match,missing,nomatch,0.738995448
record_112,f,nomatch,match,nomatch,match,nomatch,nomatch,match,nomatch,nomatch,match,nomatch,missing,nomatch,nomatch,missing,nomatch,nomatch,missing,match,0.52580795
record_112,g,nomatch,matcha,,,nomatch,nomatch,match,nomatch,,,nomatch,,,nomatch,match,nomatch,matcha,match,nomatch,0.640232738
record_112,h,match,match,missing,match,missing,match,match,missing,nomatch,nomatch,match,nomatch,missing,nomatch,missing,nomatch,match,match,match,0.684676339
record_113,a,match,match,match,match,match,match,match,match,match,match,match,match,,match,nomatch,nomatch,nomatch,nomatch,match,0.652552983
record_113,b,match,match,missing,match,match,match,match,match,nomatch,match,match,missing,match,match,match,missing,match,match,match,0.671940315
record_113,c,match,match,match,nomatch,match,match,match,match,match,nomatch,match,match,nomatch,missing,match,,match,match,match,0.600736567
record_113,d,match,match,nomatch,match,match,nomatch,match,match,match,match,match,nomatch,match,nomatch,nomatch,match,match,match,match,0.640578963
record_113,e,nomatch,match,match,nomatch,nomatch,nomatch,match,nomatch,match,nomatch,nomatch,match,nomatch,missing,match,,nomatch,nomatch,match,0.597446453
record_113,f,match,match,match,match,nomatch,nomatch,match,match,nomatch,match,nomatch,match,nomatch,missing,match,missing,match,match,nomatch,0.565585079
record_113,g,nomatch,,nomatch,,nomatch,,,,,,,,match,matcha,match,nomatch,matcha,nomatch,,0.451546988
record_113,h,nomatch,nomatch,match,missing,nomatch,nomatch,missing,missing,nomatch,match,nomatch,missing,,missing,match,match,missing,nomatch,nomatch,0.543804575
record_114,a,match,match,nomatch,,match,nomatch,match,match,match,nomatch,,match,match,match,nomatch,nomatch,missing,nomatch,match,0.618673743
record_114,b,match,missing,match,match,match,match,match,match,nomatch,match,match,match,match,match,match,match,missing,match,match,0.669044741
record_114,c,match,nomatch,nomatch,match,missing,match,match,nomatch,match,match,match,match,match,nomatch,match,,match,match,match,0.456998254
record_114,d,match,nomatch,match,match,match,nomatch,nomatch,match,match,nomatch,match,match,match,match,match,match,match,match,nomatch,0.606413223
record_114,e,match,match,nomatch,nomatch,match,nomatch,match,nomatch,match,match,nomatch,match,match,match,nomatch,,nomatch,match,nomatch,0.636071605
record_114,f,nomatch,match,match,nomatch,missing,match,match,match,match,match,nomatch,nomatch,match,nomatch,nomatch,missing,nomatch,nomatch,nomatch,0.691687132
record_114,g,nomatch,matcha,match,match,,nomatch,nomatch,,matcha,matcha,match,matcha,,,match,match,match,matcha,nomatch,0.56934184
record_114,h,nomatch,nomatch,missing,,missing,missing,match,match,match,match,missing,nomatch,nomatch,missing,nomatch,match,nomatch,match,missing,0.709524424
record_115,a,missing,match,match,match,nomatch,match,nomatch,match,nomatch,match,match,nomatch,match,nomatch,match,missing,nomatch,,match,0.562216422
record_115,b,match,nomatch,match,match,match,match,nomatch,match,,missing,missing,match,match,match,match,match,missing,match,match,0.739763895
record_115,c,match,match,match,nomatch,match,match,match,match,match,missing,match,match,match,match,match,match,match,match,match,0.58757793
record_115,d,match,nomatch,match,match,match,match,match,nomatch,match,nomatch,match,match,match,match,match,match,match,nomatch,match,0.791170952
record_115,e,match,nomatch,match,nomatch,nomatch,nomatch,match,nomatch,match,missing,nomatch,nomatch,match,match,nomatch,nomatch,match,match,nomatch,0.539042185
record_115,f,match,nomatch,nomatch,nomatch,nomatch,match,match,nomatch,nomatch,missing,nomatch,nomatch,match,nomatch,match,match,match,match,match,0.484347807
record_115,g,match,,,nomatch,match,matcha,matcha,nomatch,matcha,,,match,matcha,match,,match,nomatch,match,matcha,0.641020816
record_115,h,nomatch,missing,missing,nomatch,missing,match,nomatch,nomatch,missing,nomatch,nomatch,match,nomatch,missing,nomatch,missing,missing,,match,0.702196435
record_116,a,match,match,match,match,,nomatch,nomatch,missing,match,match,missing,match,,match,nomatch,match,nomatch,nomatch,match,0.731619299
record_116,b,match,match,match,missing,match,match,match,match,missing,match,match,missing,missing,match,missing,match,match,match,match,0.607732795
record_116,c,missing,match,match,match,match,match,match,missing,match,match,missing,nomatch,nomatch,match,match,match,match,match,nomatch,0.637064086
record_116,d,match,match,match,match,match,match,match,nomatch,match,match,match,match,match,match,match,missing,match,match,match,0.614097162
record_116,e,match,nomatch,match,match,match,nomatch,match,match,match,match,match,nomatch,match,match,nomatch,match,nomatch,nomatch,nomatch,0.788742919
record_116,f,missing,match,match,nomatch,nomatch,nomatch,nomatch,missing,match,nomatch,missing,nomatch,nomatch,match,nomatch,match,match,nomatch,nomatch,0.671385622
record_116,g,,,nomatch,matcha,matcha,matcha,nomatch,matcha,,nomatch,match,nomatch,matcha,matcha,match,matcha,matcha,matcha,,0.583369365
record_116,h,nomatch,nomatch,missing,match,match,nomatch,nomatch,missing,missing,nomatch,nomatch,nomatch,,match,match,match,missing,match,nomatch,0.649200301
record_117,a,match,match,match,nomatch,match,match,nomatch,match,nomatch,nomatch,match,match,missing,match,,nomatch,nomatch,nomatch,match,0.669986268
record_117,b,missing,match,match,match,match,match,match,missing,nomatch,match,missing,match,match,match,match,match,missing,match,match,0.498839283
record_117,c,match,match,match,match,match,match,match,match,match,nomatch,match,match,nomatch,nomatch,match,match,match,match,nomatch,0.543273841
record_117,d,nomatch,nomatch,match,match,missing,match,match,match,match,missing,match,nomatch,match,match,match,match,match,match,nomatch,0.634693268
record_117,e,match,nomatch,match,nomatch,nomatch,nomatch,nomatch,nomatch,nomatch,nomatch,match,nomatch,match,nomatch,nomatch,match,nomatch,nomatch,match,0.555186331
record_117,f,match,match,match,match,nomatch,match,match,match,match,nomatch,match,match,match,match,match,nomatch,nomatch,nomatch,nomatch,0.497497307
record_117,g,matcha,,nomatch,matcha,matcha,,match,matcha,nomatch,nomatch,,,matcha,,match,nomatch,match,match,matcha,0.542458688
record_117,h,nomatch,nomatch,missing,nomatch,nomatch,nomatch,match,match,missing,nomatch,match,nomatch,missing,nomatch,match,missing,nomatch,missing,match,0.817479502
record_118,a,match,,match,nomatch,match,nomatch,match,match,match,match,match,match,match,missing,match,missing,nomatch,nomatch,match,0.53494826
record_118,b,match,missing,missing,match,match,match,,missing,nomatch,match,missing,match,match,match,,match,missing,match,missing,0.519255715
record_118,c,match,match,match,match,match,match,match,missing,match,match,missing,nomatch,match,match,match,match,match,match,match,0.610464721
record_118,d,match,missing,match,match,match,nomatch,nomatch,nomatch,nomatch,match,nomatch,match,nomatch,match,missing,match,match,match,match,0.513621922
record_118,e,match,match,match,nomatch,nomatch,nomatch,match,missing,match,nomatch,missing,nomatch,match,nomatch,match,match,match,match,nomatch,0.618062344
record_118,f,nomatch,match,nomatch,nomatch,nomatch,match,nomatch,missing,match,match,missing,nomatch,match,nomatch,nomatch,match,nomatch,nomatch,nomatch,0.672926499
record_118,g,nomatch,nomatch,nomatch,match,nomatch,match,,nomatch,,matcha,matcha,,nomatch,nomatch,matcha,matcha,matcha,nomatch,,0.533374085
record_118,h,match,match,match,missing,nomatch,match,nomatch,nomatch,match,match,nomatch,match,match,nomatch,match,missing,missing,missing,nomatch,0.595993223
record_119,a,match,match,match,,nomatch,nomatch,match,match,missing,match,match,match,match,match,nomatch,nomatch,nomatch,missing,match,0.521999571
record_119,b,match,match,match,nomatch,missing,match,match,match,,match,match,match,match,match,nomatch,missing,missing,match,match,0.516147413
record_119,c,match,match,match,match,match,nomatch,match,nomatch,match,nomatch,match,match,match,match,nomatch,match,match,match,match,0.613714494
record_119,d,match,nomatch,match,match,match,match,match,match,match,match,match,nomatch,match,nomatch,nomatch,nomatch,match,match,match,0.665270033
record_119,e,nomatch,match,nomatch,match,match,nomatch,nomatch,nomatch,match,match,match,match,match,nomatch,match,nomatch,match,match,match,0.683625209
record_119,f,nomatch,nomatch,nomatch,nomatch,nomatch,match,nomatch,match,match,nomatch,match,match,nomatch,nomatch,nomatch,nomatch,match,nomatch,match,0.63944881
record_119,g,matcha,,,matcha,match,match,matcha,nomatch,match,,matcha,nomatch,nomatch,nomatch,match,match,match,nomatch,,0.512889069
record_119,h,nomatch,nomatch,nomatch,,missing,match,missing,match,missing,nomatch,nomatch,nomatch,nomatch,nomatch,nomatch,nomatch,missing,missing,missing,0.457622195
record_12,a,nomatch,nomatch,match,missing,match,match,match,match,nomatch,match,match,match,match,missing,match,nomatch,nomatch,,match,0.580255397
record_12,b,match,match,match,match,match,missing,match,match,nomatch,missing,match,match,match,missing,match,match,match,match,match,0.61931811
record_12,c,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,0.571230207
record_12,d,match,match,match,match,match,nomatch,match,match,match,match,,match,match,missing,nomatch,match,nomatch,match,match,0.536155115
record_12,e,match,nomatch,nomatch,match,nomatch,match,match,match,match,nomatch,nomatch,nomatch,match,nomatch,match,match,match,match,nomatch,0.420843698
record_12,f,match,nomatch,match,nomatch,nomatch,match,match,match,match,match,nomatch,nomatch,nomatch,match,match,match,match,match,match,0.523815572
record_12,g,match,nomatch,,match,nomatch,,,matcha,match,,,matcha,matcha,match,,match,match,matcha,nomatch,0.627569814
record_12,h,match,nomatch,missing,nomatch,match,nomatch,missing,missing,match,match,match,nomatch,nomatch,nomatch,missing,nomatch,match,match,match,0.592956818
record_120,a,match,match,match,match,match,match,match,match,match,,match,match,match,match,match,,nomatch,nomatch,match,0.554908457
record_120,b,match,match,missing,match,missing,missing,match,match,nomatch,match,missing,missing,match,match,match,match,match,match,match,0.626691831
record_120,c,match,match,match,match,match,match,match,match,nomatch,match,match,match,match,match,nomatch,match,match,match,match,0.600739589
